Year,Zone,Sub Region,District,Division 1 - Boys,Division 1 - Girls,Division 1 - Total,Division 2 - Boys,Division 2 - Girls,Division 2 - Total,Division 3 - Boys,Division 3 - Girls,Division 3 - Total,Division 4 - Boys,Division 4 - Girls,Division 4 - Total,Division U - Boys,Division U - Girls,Division U - Total,Division X - Boys,Division X - Girls,Division X - Total,Registered - Boys,Registered - Girls,Registered - Total,Sat - Boys,Sat - Girls,Sat - Total,Passed - Boys,Passed - Girls,Passed - Total,Pass Rate - Boys,Pass Rate - Girls,Pass Rate - Total,Pass Division 1_2_3 Boys,Pass Division 1_2_3 Girls,Pass Division 1_2_3 Total,Pass Rate Division 1_2_3 Boys,Pass Rate Division 1_2_3 Girls,Pass Rate Division 1_2_3 Total,Pass Rate Division 1 Boys,Pass Rate Division 1 Girls,Pass Rate Division 1 Total,Failure Rate -  Boys,Failure Rate - Girls,Failure Rate - Total,Abseentism Rate - Boys,Abseentism Rate - Girls,Abseentism Rate - Total
2024,MZO,Karamoja,Napak,13,11,24,242,234,476,106,157,263,41,48,89,18,38,56,7,7,14,427,495,922,420,488,908,402,450,852,0.0,0.0,0.0,361,402,763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,MZO,Karamoja,Napak,12,17,29,285,201,486,99,121,220,32,30,62,27,48,75,9,5,14,464,422,886,455,417,872,428,369,797,0.0,0.0,0.0,396,339,735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,North Buganda,Nakaseke,326,367,693,1323,1555,2878,318,460,778,196,232,428,81,130,211,82,102,184,2326,2846,5172,2244,2744,4988,2163,2614,4777,0.0,0.0,0.0,1967,2382,4349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,North Buganda,Nakasongola,208,195,403,782,996,1778,354,570,924,227,345,572,266,417,683,118,128,246,1955,2651,4606,1837,2523,4360,1571,2106,3677,0.0,0.0,0.0,1344,1761,3105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Busoga,Namayingo,167,87,254,892,675,1567,463,431,894,318,271,589,427,464,891,32,29,61,2299,1957,4256,2267,1928,4195,1840,1464,3304,0.0,0.0,0.0,1522,1193,2715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Elgon,Namisindwa,83,60,143,709,631,1340,559,575,1134,358,453,811,779,852,1631,81,134,215,2569,2705,5274,2488,2571,5059,1709,1719,3428,0.0,0.0,0.0,1351,1266,2617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Busoga,Namutumba,214,193,407,1304,1381,2685,618,670,1288,476,488,964,432,419,851,35,59,94,3079,3210,6289,3044,3151,6195,2612,2732,5344,0.0,0.0,0.0,2136,2244,4380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,MZO,Karamoja,Napak,36,35,71,256,212,468,94,96,190,44,43,87,23,27,50,11,7,18,464,420,884,453,413,866,430,386,816,0.0,0.0,0.0,386,343,729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,West Nile,Nebbi,73,18,91,1026,482,1508,634,411,1045,297,204,501,199,131,330,56,34,90,2285,1280,3565,2229,1246,3475,2030,1115,3145,0.0,0.0,0.0,1733,911,2644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Other,Teso,Ngora,101,49,150,715,799,1514,446,563,1009,287,384,671,458,473,931,11,24,35,2018,2292,4310,2007,2268,4275,1549,1795,3344,0.0,0.0,0.0,1262,1411,2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
